date,open,high,low,close,volume,market_return,vix,bond_yield_10y,dollar_index_change,sp500,nasdaq,sp500_above_ma200,nasdaq_12m_return,vnm_etf_above_ma200,usdvnd_change,vix_lag1,bond_yield_lag1,vnindex_return_lag1,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_quarter_end,days_before_tet,close_smoothed,sentiment_score,news_volume,dividend_flag,days_to_dividend,days_after_dividend,target_return_1d,target_spread_1d,target_return_2d,target_spread_2d,target_return_3d,target_spread_3d
2021-10-29,143.8887552596137,147.0268204605567,143.46377046547764,146.83242797851562,43320000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.8660254037844386,0.5000000000000001,0,30.0,136.86764633882103,0.0,0.0,0.0,60.0,60.0,-0.03072709530791941,0.0325608950867274,-0.017653367363587143,0.015356702974221356,-0.009780615017858608,0.014036198869940023
2021-11-01,146.83241520559218,146.83241520559218,142.05141992285428,142.32069396972656,46924000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,30.0,137.03738187575246,0.0,0.0,0.0,60.0,60.0,0.013488180553737383,0.015843528587131905,0.021610508442630096,0.014481162943886329,0.033244849513714245,0.02387163066241173
2021-11-02,143.39433663204673,145.40719548804785,143.15233350459803,144.24034118652344,33482000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.5000000000000004,0.8660254037844384,0,30.0,137.26158643967003,0.0,0.0,0.0,60.0,60.0,0.00801423050089734,0.014288437913478464,0.019493733956702338,0.023553930988488726,0.02351269737917377,0.01464936132385969
2021-11-03,144.70452437779974,145.4667336808486,143.405764521186,145.3963165283203,27494000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.5000000000000004,0.8660254037844384,0,30.0,137.51479398026876,0.0,0.0,0.0,60.0,60.0,0.011388235511417988,0.023366665147955726,0.015375246111927417,0.014532891382476022,0.016596295000793918,0.014901355761082407
2021-11-04,145.918488091667,148.5061103237096,145.10868328164617,147.0521240234375,38412000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.5000000000000004,0.8660254037844384,0,30.0,137.81165986983015,0.0,0.0,0.0,60.0,60.0,0.003942116845459805,0.014369250968326055,0.005149416719033148,0.014733566436579516,0.004390586983283955,0.017465106537951292
2021-11-05,147.94670774549678,149.0952199954821,146.98219111996391,147.63182067871094,38354000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.5000000000000004,0.8660254037844384,0,30.0,138.1173293560458,0.0,0.0,0.0,60.0,60.0,0.0012025592445178647,0.014675713060902996,0.00044670915812687677,0.017396527394257885,-0.019875353468181894,0.023731637536662988
2021-11-08,148.59683920952253,149.38037183168208,147.21376959274264,147.80935668945312,23052000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,30.0,138.41901046626867,0.0,0.0,0.0,60.0,60.0,-0.0007549422236408718,0.01737563216716592,-0.02105259571909666,0.023703133114811734,-0.02190488657078257,0.012983961673348515
2021-11-09,148.00969001611557,148.606260776847,146.03797976414563,147.69776916503906,19530000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.9510565162951535,0.30901699437494745,-0.5000000000000004,0.8660254037844384,0,30.0,138.70782787561365,0.0,0.0,0.0,60.0,60.0,-0.0203129886282596,0.023721041130349757,-0.021165923396416,0.012993771219886737,-0.001615162568478337,0.023093236407941233
2021-11-10,146.29092366960225,146.85625857101513,143.35271371379034,144.6975860595703,29970000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.5877852522924732,-0.8090169943749473,-0.5000000000000004,0.8660254037844384,0,30.0,138.8942694565896,0.0,0.0,0.0,60.0,60.0,-0.0008706196553143389,0.013263186169726889,0.019085509803381896,0.023572055299178142,0.017536616695671504,0.013533860872657021
2021-11-11,145.28869002419106,146.32612090055292,144.40696987833476,144.5716094970703,16518000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.587785252292473,-0.8090169943749475,-0.5000000000000004,0.8660254037844384,0,30.0,139.07098648261587,0.0,0.0,0.0,60.0,60.0,0.019973518796746473,0.02359259547651988,0.0184232760172017,0.013545653985260676,0.014471782320076372,0.009947394560399213
2021-11-12,145.41362049881366,147.62981552335748,144.2189960231037,147.45921325683594,22360000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,-0.9510565162951536,0.30901699437494723,-0.5000000000000004,0.8660254037844384,0,30.0,139.33208454589982,0.0,0.0,0.0,60.0,60.0,-0.0015198853215067601,0.013280397711933112,-0.005393999329669314,0.009752600804905273,-0.004244047969517856,0.008874807181463062
2021-11-15,147.67991725355816,148.32359927216987,146.36528227383033,147.23509216308594,23508000,0.0,16.540000915527344,4.486999988555908,0.0,6025.990234375,19523.400390625,0.0,0.0,1.0,0.0,16.540000915527344,4.486999988555908,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,30.0,139.57807932387928,0.0,0.0,0.0,60.0,60.0,-0.0038800111802026263,0.009767446203017846,-0.002728309365368048,0.008888316403097037,0.009339738977297493,0.01816074677786271
