date,close,high,low,open,volume,rsi_14,MACD_12_26_9,volatility_20,close_lag1,volume_change,intraday_return,target_return
2024-01-15,57759.73046875,58190.77323344217,57759.73046875,57932.14757462686,2336501,41.98029148411433,-172.92519869358512,0.00887327423983809,57932.14453125,-0.2883030764544624,-0.0029761904761904214,2.970070036697467e-08
2024-01-16,58104.56640625,58104.56640625,57501.10651775779,57759.73218425445,2072400,45.45667681203442,-186.656409407733,0.008157240663154593,57759.73046875,-0.11303269290276363,0.005970149253731397,0.001483691064243654
2024-01-17,57845.94140625,58535.60985818741,57759.73284975783,58190.775632218705,1916400,43.358374657992194,-215.91839604237612,0.008237619237600012,58104.56640625,-0.0752750434279097,-0.005925925925925955,0.004470770617871999
2024-01-19,58621.80859375,59139.05984604779,58104.55734145221,58104.55734145221,2809300,50.70922462443802,-174.49130627130944,0.007954050906709361,57845.94140625,0.46592569400960127,0.008902077151335279,1.2204989997418182e-07
2024-01-22,58880.44140625,59225.27561653551,58621.815748535875,58621.815748535875,1959800,52.9034047846201,-119.41400239060022,0.007922321003483394,58621.80859375,-0.3023884953547147,0.004411764705882284,-4.439136624636287e-08
2024-01-23,58363.1875,58880.43879246676,58276.978951255536,58880.43879246676,2252000,48.27497644244779,-116.16384512064542,0.008169950251601336,58880.44140625,0.14909684661700173,-0.00878477306002921,0.001477209650667657
2024-01-24,58018.359375,58621.819279346215,57932.15081723626,58449.402163818726,2083500,45.421990276483925,-139.80127779949544,0.008233105255309398,58363.1875,-0.07482238010657194,-0.007374631268436643,0.0014857866380391317
2024-01-25,57673.51953125,58190.770827494394,57673.51953125,58104.56227812033,2800500,42.70401356059837,-184.23604845615046,0.008327733703207664,58018.359375,0.3441324694024479,-0.007418397626112735,0.0014948097185795502
2024-01-26,57759.73046875,58190.77323344217,57759.73046875,57759.73046875,1675800,43.61244559942676,-210.07283331869985,0.008338340739024603,57673.51953125,-0.4016068559185859,0.0,0.0014925373134328712
2024-01-29,57759.73046875,58018.3561275653,57673.521915811565,57845.939021688435,2153800,43.61244559942675,-227.92133617888612,0.007541262024354479,57759.73046875,0.2852369017782552,-0.0014903129657228371,0.004477570409304187
2024-01-30,57673.51953125,58018.35372874626,57673.51953125,58018.35372874626,1840400,42.82497432622636,-246.18503758013685,0.006990614005256248,57759.73046875,-0.14551026093416286,-0.005943536404160431,0.004484346464008091
2024-01-31,57759.73046875,58794.2331040112,57673.521915811565,57932.14757462686,4441100,43.91553921479237,-250.8114520673771,0.00653242002517596,57673.51953125,1.4131167137578786,-0.0029761904761904214,0.00298507814403774
